,state,year,carbon,nitrogen,CH4,rainfall
0,Andaman & Nicobar Island,2006,-7107411.93740899,10.4768334224261,4062.09377619412,2404.7
1,Andaman & Nicobar Island,2007,-7104640.56588815,10.5640610975491,4192.77620198235,2748.2
2,Andaman & Nicobar Island,2008,-7108614.9709599,7.04105967542017,4151.07595700294,3374.9
3,Andaman & Nicobar Island,2009,-7112226.4695727,6.06630289268833,3993.48909937647,2538.6
4,Andaman & Nicobar Island,2010,-7114088.56078509,6.8156300534874,3893.75659307941,3157.1
5,Andaman & Nicobar Island,2011,-7127289.35527803,6.95076431131513,3788.73537519971,3828.0
6,Andaman & Nicobar Island,2012,-1170627.60868829,7.39399319928992,3678.82212876853,3497.6
7,Andaman & Nicobar Island,2013,-1170826.95571703,8.05650344552719,3659.54949995558,3757.7
8,Andaman & Nicobar Island,2014,357447.321068601,8.52602879661463,3414.47286154904,2622.5
9,Andaman & Nicobar Island,2015,360883.314769871,8.79904470984674,3574.06137431897,2904.5
10,Andhra Pradesh,2005,5349368.338792,17429.7772276872,704967.916730953,1221.6
11,Andhra Pradesh,2006,5840132.13339744,16685.7200828584,739321.321945351,1159.6
12,Andhra Pradesh,2007,6134967.58510212,15978.6091003029,763799.410340439,1099.4
13,Andhra Pradesh,2008,6421582.28570396,16978.7881411276,764645.04730334,1107.5
14,Andhra Pradesh,2009,5465307.99137474,17243.5596340871,715199.644582068,790.5
15,Andhra Pradesh,2010,6545299.02016391,19130.0107296601,738780.177399286,1712.5
16,Andhra Pradesh,2011,6226575.37307369,19858.2208070498,715458.82382614,861.8
17,Andhra Pradesh,2012,-8246162.86214838,18467.1433608901,674166.580594476,1318.3
18,Andhra Pradesh,2013,-9633134.78322307,13308.3641122309,684273.706594936,1120.4
19,Andhra Pradesh,2014,-18957880.2270065,11322.4269104598,670428.996536154,875.1
20,Andhra Pradesh,2015,-19720071.0134076,10807.8076147354,641730.958215841,1011.0
21,Assam,2005,8954853.81437678,1052.69189246288,574744.62906283,2468.2
22,Assam,2006,8839865.26771199,1105.33071790664,568491.934655575,1898.7
23,Assam,2007,9244546.18430712,1165.16713470109,586879.155007425,2752.7
24,Assam,2008,9618368.61733569,1268.4841960099,603843.86126821,2339.6
25,Assam,2009,9796008.38970909,1387.21611601689,610550.188752555,2068.2
26,Assam,2010,10025273.5385619,1531.10486120972,619343.504840317,2711.4
27,Assam,2011,10077996.8243141,1626.8283884265,621362.297972135,1743.5
28,Assam,2012,13922677.7600899,1645.56413920447,618048.398683536,2609.4
29,Assam,2013,13836846.4410875,1649.56075848178,613902.195303615,1816.5
30,Assam,2014,5814109.80764675,1685.45895354099,615909.414006355,2206.2
31,Assam,2015,5912452.90491644,1791.80338234905,619022.572308221,2471.0
32,Bihar,2005,24257086.4088225,8630.60768332008,955374.910243138,907.8
33,Bihar,2006,25230120.7639907,8943.76808621497,997087.03549413,1052.8
34,Bihar,2007,25923100.9177948,9230.78618020755,1025849.15666872,1600.1
35,Bihar,2008,25799498.7662371,9384.32101885974,1033784.93030785,1197.6
36,Bihar,2009,25240403.5005901,9070.58095000315,1011792.74724588,889.5
37,Bihar,2010,24738476.6554985,9067.66375744544,987934.532226894,629.2
38,Bihar,2011,25860476.8060526,9620.35698855506,1025997.55552586,1097.3
39,Bihar,2012,26016310.8141675,10771.8530583997,1041351.74658192,1032.4
40,Bihar,2013,25825600.6879309,10003.977920488,1043605.61165412,1069.8
41,Bihar,2014,25178530.2304425,9959.08999249722,1067797.28467898,1061.0
42,Bihar,2015,26286763.1032087,11901.973954139,1091889.61061504,872.7
43,Chandigarh,2005,21460.560240463,0.365845,1090.3258,519.4
44,Chandigarh,2006,20881.8451154631,0.3515675,1062.9787,331.0
45,Chandigarh,2007,20303.1299904631,0.33729,1035.6316,446.6
46,Chandigarh,2008,19853.3453350764,0.3268261,1012.613022,710.3
47,Chandigarh,2009,19366.7113880764,0.3163622,989.594444,395.3
48,Chandigarh,2010,18880.0774410764,0.3058983,966.575866,640.4
49,Chandigarh,2011,18381.7442841517,0.2954344,943.557288,512.1
50,Chandigarh,2012,-55617.4810914197,0.2849705,920.53871,391.3
51,Chandigarh,2013,-55739.7223904064,0.27576917999876,914.853524772076,461.3
52,Chandigarh,2014,20778.4172680595,0.266967601654075,915.740103236501,305.5
53,Chandigarh,2015,20955.4741415597,0.258566580691625,924.295397998336,435.5
54,Chhattisgarh,2005,9922472.91110952,2734.32728615338,626093.185267987,1287.3
55,Chhattisgarh,2006,10056242.5951252,2837.94677799557,630933.549151065,1317.8
56,Chhattisgarh,2007,10186728.0585537,2947.4196671903,635531.114283354,1281.2
